|   SpT |  Teff |  logT |   Msun | logL |           lycfrac |            lyclum |    B-V |  Bt-Vt |    U-B |   V-Rc |   V-Ic |   V-Ks |    J-H |    H-K | Ks-W1 | logAge |    b-y |  #SpT |   M_J |  M_Ks |  Mbol |  i-z |  z-Y | W1-W2 |   BCv |    Mv |
|   B4V | 16700 | 4.223 |    5.0 | 2.91 |   0.0146033779781 | 2.09594918893e+45 | -0.165 | -0.170 | -0.619 | -0.074 | -0.176 | -0.447 | -0.092 | -0.016 | 0.036 |    7.5 | -0.081 |   B4V | -0.66 | -0.55 | -2.52 |  ... |  ... |   ... | -1.53 |  -1.0 |
|   B5V | 15700 | 4.196 |    4.6 |  2.8 |  0.00947502826977 |  1.0556207983e+45 | -0.156 | -0.160 | -0.581 | -0.070 | -0.165 | -0.417 | -0.089 | -0.013 | 0.036 |    7.7 | -0.075 |   B5V | -0.59 | -0.48 | -2.25 |  ... |  ... |   ... | -1.35 |  -0.9 |
|   B6V | 14500 | 4.161 |    4.0 | 2.54 |  0.00514362792198 | 3.14917626166e+44 | -0.140 | -0.142 | -0.504 | -0.062 | -0.145 | -0.358 | -0.081 | -0.007 | 0.035 |    7.8 | -0.068 |   B6V | -0.23 | -0.14 | -1.66 |  ... |  ... |   ... | -1.16 |  -0.5 |
|   B7V | 14000 | 4.146 |    3.9 | 2.49 |  0.00384838542603 | 2.09993564357e+44 | -0.128 | -0.129 | -0.459 | -0.058 | -0.133 | -0.325 | -0.077 | -0.004 | 0.035 |    7.9 | -0.061 |   B7V | -0.16 | -0.08 | -1.47 |  ... |  ... |   ... | -1.07 |  -0.4 |
|   B8V | 12500 | 4.097 |    3.4 | 2.27 |  0.00137445471107 | 4.51916146071e+43 | -0.109 | -0.107 | -0.364 | -0.048 | -0.108 | -0.254 | -0.067 |  0.003 | 0.034 |    8.1 | -0.049 |   B8V | -0.01 |  0.05 | -0.91 |  ... |  ... |   ... | -0.81 |  -0.2 |
|   B9V | 10700 | 4.029 |    2.8 | 1.79 | 0.000259228303483 |  2.8223433183e+42 | -0.070 | -0.063 | -0.200 | -0.028 | -0.061 | -0.121 | -0.050 |  0.016 | 0.032 |    8.3 | -0.035 |   B9V |  0.79 |  0.82 |  0.28 |  ... |  ... |   ... | -0.42 |   0.7 |
| B9.5V | 10400 | 4.017 |    2.5 | 1.73 | 0.000184439166319 | 1.74896280864e+42 | -0.050 | -0.040 | -0.130 | -0.017 | -0.035 | -0.048 | -0.044 |  0.021 | 0.031 |    8.4 | -0.026 | B9.5V |  0.83 |  0.85 |  0.44 |  ... |  ... |   ... | -0.38 |   0.8 |
|   A0V |  9700 | 3.987 |    2.3 | 1.54 |  7.6181900617e-05 | 4.66422215272e+41 |  0.000 |  0.013 | -0.005 |  0.001 |  0.004 |  0.041 | -0.032 |  0.028 | 0.030 |    8.5 |  0.000 |   A0V |  1.07 |  1.07 |  0.87 |  ... |  ... |   ... | -0.24 |  1.11 |
|   A1V |  9200 | 3.965 |   2.15 | 1.41 |  3.7022787637e-05 |  1.6803375781e+41 |  0.043 |  0.056 |  0.033 |  0.019 |  0.044 |  0.101 | -0.024 |  0.031 | 0.030 |    8.6 |  0.017 |   A1V |  1.25 |  1.24 |  1.19 |  ... |  ... |   ... | -0.15 |  1.34 |
|   A2V |  8840 | 3.946 |   2.05 | 1.33 | 2.08454113372e-05 |  7.8693324542e+40 |  0.074 |  0.091 |  0.063 |  0.042 |  0.091 |  0.188 | -0.010 |  0.034 | 0.029 |    8.7 |  0.038 |   A2V |  1.32 |  1.29 |  1.38 |  ... |  ... |   ... |  -0.1 |  1.48 |
|   A3V |  8550 | 3.932 |    2.0 | 1.29 | 1.26344967885e-05 | 4.34996109994e+40 |  0.090 |  0.109 |  0.077 |  0.050 |  0.108 |  0.228 | -0.002 |  0.034 | 0.029 |    8.7 |  0.055 |   A3V |  1.35 |  1.32 |  1.49 |  ... |  ... |   ... | -0.06 |  1.55 |
|   A4V |  8270 | 3.917 |    1.9 |  1.2 | 7.51674938861e-06 | 2.10357254929e+40 |  0.140 |  0.166 |  0.097 |  0.078 |  0.164 |  0.353 |  0.022 |  0.037 | 0.029 |    8.8 |  0.071 |   A4V |  1.47 |  1.41 |  1.72 |  ... |  ... |   ... | -0.04 |  1.76 |
|   A5V |  8080 | 3.907 |   1.85 | 1.16 | 5.16944561452e-06 | 1.31938455111e+40 |  0.160 |  0.185 |  0.100 |  0.089 |  0.186 |  0.403 |  0.031 |  0.038 | 0.029 |    8.8 |  0.090 |   A5V |  1.51 |  1.44 |  1.81 |  ... |  ... |   ... | -0.03 |  1.84 |
|   A6V |  8000 | 3.903 |   1.83 | 1.14 | 4.39051221042e-06 | 1.07014496674e+40 |  0.170 |  0.194 |  0.098 |  0.094 |  0.197 |  0.428 |  0.036 |  0.038 | 0.029 |    8.9 |  0.099 |   A6V |  1.54 |  1.46 |  1.87 |  ... |  ... |   ... | -0.02 |  1.89 |
|   A7V |  7800 | 3.892 |   1.76 | 1.06 | 2.87337910703e-06 | 5.82532759451e+39 |  0.210 |  0.233 |  0.091 |  0.117 |  0.242 |  0.528 |  0.055 |  0.040 | 0.029 |    8.9 |  0.107 |   A7V |  1.64 |  1.54 |  2.07 |  ... |  ... |   ... |   0.0 |  2.07 |
|   A8V |  7500 | 3.874 |   1.67 | 0.97 | 1.45399292925e-06 | 2.39601602542e+39 |  0.250 |  0.274 |  0.082 |  0.140 |  0.288 |  0.626 |  0.075 |  0.042 | 0.028 |    9.0 |  0.132 |   A8V |  1.78 |  1.66 |  2.29 |  ... |  ... |   ... |   0.0 |  2.29 |
|   A9V |  7440 | 3.872 |   1.67 | 0.97 | 1.25994229987e-06 | 2.07624251869e+39 |  0.255 |  0.279 |  0.080 |  0.143 |  0.294 |  0.638 |  0.078 |  0.043 | 0.028 |    9.0 |  0.145 |   A9V |  1.78 |  1.66 |   2.3 |  ... |  ... |   ... |   0.0 |   2.3 |
|   F0V |  7200 | 3.857 |   1.59 | 0.89 | 6.92617965793e-07 | 9.49338680437e+38 |  0.294 |  0.317 |  0.053 |  0.166 |  0.339 |  0.732 |  0.098 |  0.045 | 0.028 |    9.1 |  0.158 |   F0V |  1.90 |  1.76 |   2.5 |  ... |  ... |   ... | -0.01 |  2.51 |
|   F1V |  7030 | 3.847 |    1.5 | 0.77 | 4.41618399977e-07 | 4.59171140006e+38 |  0.334 |  0.350 |  0.021 |  0.190 |  0.385 |  0.828 |  0.119 |  0.047 | 0.028 |    9.1 |  0.204 |   F1V |  2.13 |  1.96 |  2.78 |  ... |  ... |   ... | -0.01 |  2.79 |
|   F2V |  6810 | 3.833 |   1.44 |  0.7 |               0.0 |               0.0 |  0.374 |  0.390 | -0.008 |  0.213 |  0.432 |  0.925 |  0.140 |  0.050 | 0.028 |    9.2 |  0.250 |   F2V |  2.26 |  2.07 |  2.97 |  ... |  ... |   ... | -0.02 |  2.99 |
|   F3V |  6720 | 3.827 |   1.43 | 0.67 |               0.0 |               0.0 |  0.389 |  0.405 | -0.016 |  0.222 |  0.449 |  0.961 |  0.147 |  0.051 | 0.028 |    9.2 |  0.263 |   F3V |  2.32 |  2.12 |  3.05 |  ... |  ... |   ... | -0.03 |  3.08 |
|   F4V |  6640 | 3.822 |   1.39 | 0.61 |               0.0 |               0.0 |  0.412 |  0.428 | -0.026 |  0.236 |  0.476 |  1.017 |  0.159 |  0.052 | 0.028 |    9.2 |  0.277 |   F4V |  2.42 |  2.21 |  3.19 |  ... |  ... |   ... | -0.04 |  3.23 |
|   F5V |  6510 | 3.814 |   1.33 | 0.54 |               0.0 |               0.0 |  0.438 |  0.455 | -0.029 |  0.252 |  0.506 |  1.079 |  0.173 |  0.054 | 0.028 |    9.3 |  0.290 |   F5V |  2.55 |  2.32 |  3.36 |  ... |  ... |   ... | -0.04 |   3.4 |
|   F6V |  6340 | 3.802 |   1.25 | 0.43 |               0.0 |               0.0 |  0.484 |  0.504 | -0.021 |  0.276 |  0.553 |  1.185 |  0.199 |  0.057 | 0.028 |    9.4 |  0.317 |   F6V |  2.78 |  2.52 |  3.65 |  ... |  ... |   ... | -0.05 |   3.7 |
|   F7V |  6240 | 3.795 |   1.21 | 0.36 |               0.0 |               0.0 |  0.510 |  0.534 | -0.012 |  0.290 |  0.579 |  1.244 |  0.213 |  0.060 | 0.027 |    9.5 |  0.332 |   F7V |  2.90 |  2.63 |  3.81 |  ... |  ... |   ... | -0.06 |  3.87 |
