# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2018.08.02
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia *DR1* G, Sloan izY, 2MASS JHKs, and WISE
# W1/W2/W3/W4 photometry.
#
# I will include Gaia DR2 colors soon. The G mags below are for Gaia DR1. 
#
#SpT   Teff  logT   BCv    Mv    logL  B-V    Bt-Vt  V-G    U-B     V-Rc   V-Ic    V-Ks    J-H     H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y     M_J    M_Ks   Mbol i-z  z-Y  R_Rsun  #SpT  
O3V    46000 4.663 -4.05  -5.7   5.80 -0.32   ...    ...   -1.22    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....   ....   ....  -9.75 ...  ...  12.5    O3V   
A8V    7500  3.874  0.00   2.29  0.97  0.250  0.274  0.055  0.082   0.140  0.288   0.626   0.075   0.042   0.028  -0.028 -0.055 -0.009  1.67  9.0    0.132   1.78   1.66   2.29 ...  ...  1.81    A8V   
A9V    7440  3.872  0.00   2.30  0.97  0.255  0.279  0.058  0.080   0.143  0.294   0.638   0.078   0.043   0.028  -0.028 -0.055 -0.007  1.67  9.0    0.145   1.78   1.66   2.30 ...  ...  1.84    A9V   
F0V    7220  3.857 -0.01   2.51  0.89  0.294  0.317  0.075  0.053   0.166  0.339   0.732   0.098   0.045   0.028  -0.026 -0.050  0.003  1.59  9.1    0.158   1.90   1.76   2.50 ...  ...  1.79    F0V   
F1V    7030  3.847 -0.01   2.79  0.77  0.334  0.350  0.091  0.021   0.190  0.385   0.828   0.119   0.047   0.028  -0.026 -0.047  0.009  1.50  9.1    0.204   2.13   1.96   2.78 ...  ...  1.64    F1V   
F2V    6810  3.833 -0.02   2.99  0.70  0.374  0.390  0.107 -0.008   0.213  0.432   0.925   0.140   0.050   0.028  -0.027 -0.046  0.011  1.44  9.2    0.250   2.26   2.07   2.97 ...  ...  1.61    F2V   
F3V    6720  3.827 -0.03   3.08  0.67  0.389  0.405  0.113 -0.016   0.222  0.449   0.961   0.147   0.051   0.028  -0.028 -0.046  0.008  1.43  9.2    0.263   2.32   2.12   3.05 ...  ...  1.60    F3V   
F4V    6640  3.822 -0.04   3.23  0.61  0.412  0.428  0.122 -0.026   0.236  0.476   1.017   0.159   0.052   0.028  -0.029 -0.046  0.000  1.39  9.2    0.277   2.42   2.21   3.19 ...  ...  1.53    F4V   
F5V    6510  3.814 -0.04   3.40  0.54  0.438  0.455  0.132 -0.029   0.252  0.506   1.079   0.173   0.054   0.028  -0.030 -0.045 -0.004  1.33  9.3    0.290   2.55   2.32   3.36 ...  ...  1.46    F5V   
F6V    6340  3.802 -0.05   3.70  0.43  0.484  0.504  0.149 -0.021   0.276  0.553   1.185   0.199   0.057   0.028  -0.033 -0.045 -0.012  1.25  9.4    0.317   2.78   2.52   3.65 ...  ...  1.36    F6V   
F7V    6240  3.795 -0.06   3.87  0.36  0.510  0.534  0.159 -0.012   0.290  0.579   1.244   0.213   0.060   0.027  -0.036 -0.045 -0.013  1.21  9.5    0.332   2.90   2.63   3.81 ...  ...  1.30    F7V   
F8V    6170  3.790 -0.07   4.01  0.31  0.530  0.558  0.167  0.001   0.300  0.599   1.290   0.225   0.061   0.027  -0.039 -0.044 -0.016  1.18  9.6    0.350   3.01   2.72   3.96 ...  ...  1.25    F8V   
F9V    6040  3.781 -0.08   4.15  0.26  0.552  0.587  0.175  0.014   0.312  0.620   1.340   0.237   0.063   0.027  -0.041 -0.044 -0.014  1.14  9.7    0.378   3.11   2.81   4.07 ...  ...  1.23    F9V   
G0V    5920  3.772 -0.09   4.45  0.14  0.596  0.650  0.191  0.058   0.336  0.664   1.440   0.262   0.067   0.027  -0.043 -0.043 -0.010  1.08  9.7    ...     3.34   3.01   4.40 ...  ...  1.12    G0V   
G1V    5880  3.769 -0.10   4.50  0.13  0.604  0.661  0.195  0.067   0.340  0.672   1.458   0.267   0.068   0.027  -0.044 -0.042 -0.010  1.07  9.8    ...     3.38   3.04   4.40 ...  ...  1.12    G1V   
G2V    5770  3.761 -0.11   4.79  0.01  0.650  0.724  0.212  0.133   0.363  0.713   1.564   0.293   0.073   0.028  -0.050 -0.040 -0.016  1.02  9.8    ...     3.57   3.20   4.68 ...  ...  1.01    G2V   
G3V    5720  3.757 -0.12   4.86 -0.01  0.661  0.739  0.217  0.152   0.368  0.722   1.590   0.299   0.074   0.028  -0.050 -0.040 -0.014  1.00  ...    ...     3.64   3.27   4.74 ...  ...  1.01    G3V   
G4V    5680  3.754 -0.13   4.94 -0.04  0.674  0.757  0.222  0.175   0.374  0.733   1.621   0.307   0.075   0.028  -0.052 -0.041 -0.014  0.99  ...    ...     3.70   3.32   4.80 ...  ...  0.986   G4V   
G5V    5660  3.753 -0.13   4.98 -0.05  0.680  0.764  0.225  0.185   0.377  0.738   1.635   0.310   0.076   0.028  -0.052 -0.041 -0.014  0.98  ...    ...     3.74   3.35   4.84 ...  ...  0.982   G5V   
G6V    5590  3.747 -0.15   5.13 -0.11  0.704  0.796  0.235  0.227   0.388  0.758   1.691   0.324   0.079   0.028  -0.053 -0.040 -0.012  0.97  ...    ...     3.84   3.44   4.98 ...  ...  0.939   G6V   
G7V    5530  3.743 -0.16   5.18 -0.12  0.713  0.809  0.239  0.243   0.393  0.766   1.712   0.329   0.080   0.028  -0.054 -0.040 -0.013  0.96  ...    ...     3.88   3.47   5.02 ...  ...  0.949   G7V   
G8V    5490  3.734 -0.17   5.32 -0.17  0.737  0.842  0.249  0.284   0.404  0.786   1.768   0.342   0.082   0.028  -0.057 -0.039 -0.018  0.94  ...    ...     3.97   3.55   5.15 ...  ...  0.909   G8V   
G9V    5340  3.728 -0.21   5.55 -0.25  0.777  0.894  0.267  0.358   0.423  0.820   1.861   0.365   0.087   0.029  -0.060 -0.038 -0.018  0.90  ...    ...     4.14   3.69   5.34 ...  ...  0.876   G9V   
K0V    5280  3.723 -0.22   5.76 -0.33  0.816  0.944  0.286  0.436   0.443  0.853   1.953   0.387   0.091   0.030  -0.063 -0.037 -0.015  0.87  ...    ...     4.29   3.81   5.54 ...  ...  0.817   K0V   
K0.5V  5240  3.719 -0.23   5.80 -0.33  0.828  0.955  0.290  0.456   0.448  0.862   1.977   0.393   0.092   0.030  -0.064 -0.038 -0.018  0.86  ...    ...     4.31   3.82   5.57 ...  ...  0.828   K0.5V
K1V    5170  3.713 -0.26   5.89 -0.36  0.847  0.976  0.301  0.491   0.457  0.879   2.021   0.402   0.094   0.030  -0.064 -0.038 -0.013  0.85  ...    ...     4.37   3.87   5.65 ...  ...  0.814   K1V   
K1.5V  5140  3.711 -0.27   5.97 -0.39  0.859  0.999  0.308  0.528   0.467  0.895   2.066   0.412   0.096   0.030  -0.063 -0.037 -0.016  0.82  ...    ...     4.41   3.90   5.70 ...  ...  0.809   K1.5V
K2V    5040  3.702 -0.29   6.19 -0.47  0.884  1.035  0.326  0.581   0.482  0.920   2.132   0.427   0.098   0.031  -0.068 -0.037 -0.009  0.78  ...    ...     4.57   4.04   5.88 ...  ...  0.763   K2V   
K2.5V  4990  3.698 -0.32   6.34 -0.51  0.938  1.101  0.349  0.691   0.513  0.974   2.274   0.459   0.104   0.032  -0.071 -0.032 -0.006  0.76  ...    ...     4.63   4.07   6.02 ...  ...  0.742   K2.5V
K3V    4830  3.684 -0.41   6.57 -0.58  0.980  1.150  0.376  0.776   0.537  1.013   2.380   0.483   0.109   0.033  -0.071 -0.031 -0.008  0.75  ...    ...     4.76   4.16   6.16 ...  ...  0.729   K3V   
K3.5V  4700  3.672 -0.45   6.79 -0.64  1.050  1.239  0.431  0.917   0.592  1.108   2.582   0.520   0.118   0.036  -0.074 -0.031 -0.005  0.73  ...    ...     4.85   4.21   6.34 ...  ...  0.720   K3.5V
K4V    4600  3.663 -0.56   6.98 -0.67  1.100  1.306  0.477  1.004   0.640  1.190   2.733   0.544   0.125   0.039  -0.073 -0.031  0.009  0.72  ...    ...     4.92   4.25   6.42 ...  ...  0.726   K4V   
K4.5V  4540  3.657 -0.60   7.04 -0.68  1.116  1.328  0.492  1.028   0.654  1.216   2.781   0.552   0.127   0.040  -0.073 -0.030  0.017  0.71  ...    ...     4.94   4.26   6.44 ...  ...  0.737   K4.5V 
K5V    4410  3.644 -0.68   7.36 -0.78  1.150  1.373  0.525  1.081   0.685  1.272   2.883   0.568   0.132   0.042  -0.073 -0.029  0.019  0.68  ...    ...     5.18   4.48   6.68 ...  ...  0.698   K5V   
K5.5V  4330  3.636 -0.75   7.60 -0.84  1.200  1.414  0.577  1.144   0.728  1.357   3.034   0.591   0.139   0.045   ...    ...    ...    0.66  ...    ...     5.30   4.57   6.85 ...  ...  0.672   K5.5V
K6V    4230  3.626 -0.81   7.80 -0.90  1.240  1.439  0.617  1.184   0.759  1.420   3.143   0.601   0.148   0.049   ...    ...    ...    0.65  ...    ...     5.41   4.66   6.99 ...  ...  0.661   K6V   
K6.5V  4190  3.622 -0.92   8.01 -0.96  1.310  1.491  0.672  1.213   0.796  1.505   3.288   0.613   0.159   0.055   ...    ...    ...    0.64  ...    ...     5.56   4.78   7.09 ...  ...  0.656   K6.5V
K7V    4070  3.610 -0.95   8.15 -0.98  1.330  1.506  0.688  1.221   0.806  1.529   3.330   0.617   0.162   0.057   ...    ...    ...    0.63  ...    ...     5.60   4.82   7.18 ...  ...  0.654   K7V   
K8V    4000  3.602 -1.03   8.47 -1.10  1.356  1.562  0.751  1.216   0.843  1.632   3.487   0.623   0.176   0.081   ...    ...    ...    0.59  ...    ...     5.78   4.98   7.44 ...  ...  0.587   K8V   
K9V    3940  3.595 -1.10   8.69 -1.18  1.382  1.593  0.791  1.210   0.866  1.699   3.584   0.625   0.184   0.101   ...    ...    ...    0.56  ...    ...     5.92   5.11   7.59 ...  ...  0.552   K9V   
M0V    3870  3.588 -1.16   8.91 -1.20  1.408  1.623  0.832  1.204   0.889  1.766   3.680   0.626   0.193   0.122   ...    ...    ...    0.55  ...    ...     6.04   5.22   7.75 0.33 ...  0.559   M0V   
M0.5V  3800  3.580 -1.38   9.20 -1.27  1.441  ...    0.902  1.184   0.924  1.886   3.84    0.620   0.208   0.130   ...    ...    ...    0.54  ...    ...     6.19   5.36   7.90 0.37 ...  0.535   M0.5V 
M1V    3700  3.568 -1.44   9.69 -1.40  1.475  ...    0.983  1.172   0.959  2.019   4.02    0.613   0.225   0.137   ...    ...    ...    0.49  ...    ...     6.51   5.67   8.25 0.41 ...  0.496   M1V   
M1.5V  3650  3.562 -1.57   9.97 -1.47  1.486  ...    1.030  1.170   0.978  2.089   4.12    0.607   0.228   0.105   ...    ...    ...    0.47  ...    ...     6.69   5.85   8.40 0.47 ...  0.460   M1.5V 
M2V    3550  3.550 -1.65  10.30 -1.57  1.500  ...    1.086  1.170   1.001  2.173   4.24    0.600   0.234   0.110   ...    ...    ...    0.44  ...    ...     6.89   6.06   8.65 0.53 ...  0.434   M2V   
M2.5V  3500  3.544 -1.76  10.70 -1.68  1.522  ...    1.179  1.175   1.041  2.306   4.43    0.589   0.244   0.117   ...    ...    ...    0.40  ...    ...     7.01   6.27   8.94 0.57 ...  0.393   M2.5V 
M3V    3410  3.533 -1.97  11.14 -1.78  1.544  ...    1.263  1.181   1.079  2.420   4.60    0.579   0.252   0.122   ...    ...    ...    0.36  ...    ...     7.40   6.54   9.17 0.61 ...  0.369   M3V   
M3.5V  3250  3.512 -2.27  12.19 -2.07  1.602  ...    1.467  1.200   1.178  2.680   5.00    0.558   0.269   0.132   ...    ...    ...    0.26  ...    ...     8.02   7.19   9.92 0.66 ...  0.291   M3.5V 
M4V    3200  3.505 -2.59  12.80 -2.20  1.661  ...    ...    1.222   1.241  2.831   5.25    0.557   0.282   0.139   ...    ...    ...    0.22  ...    ...     8.39   7.55  10.21 0.71 ...  0.258   M4V   
M4.5V  3100  3.491 -3.05  13.57 -2.31  1.72   ...    ...    1.23    1.345  3.073   5.64    0.564   0.301   ...     ...    ...    ...    0.18  ...    ...     8.79   7.93  10.52 0.81 ...  0.243   M4.5V 
M5V    3030  3.481 -3.28  14.30 -2.52  1.874  ...    ...    1.24    1.446  3.277   5.94    0.580   0.311   ...     0.17   ...    ...    0.16  ...    ...     9.25   8.36  11.02 0.91 0.47 0.199   M5V   
M5.5V  3000  3.477 -3.80  15.51 -2.79  1.91   ...    ...    1.3     1.656  3.664   6.50    0.588   0.329   ...     0.19   ...    ...    0.12  ...    ...     9.93   9.01  11.71 1.13 0.52 0.149   M5.5V 
M6V    2850  3.455 -4.36  16.62 -3.02  2.00   ...    ...    1.3     1.950  4.13    7.30    0.605   0.352   ...     0.21   ...    ...    0.10  ...    ...    10.28   9.32  12.26 1.45 0.60 0.127   M6V   
M6.5V  2710  3.433 -4.60  17.07 -3.09  2.06   ...    ...    ...     2.003  4.31    7.60    0.609   0.364   ...     0.22   ...    ...    0.097 ...    ...    10.47   9.47  12.47 1.58 0.64 0.129   M6.5V 
M7V    2650  3.423 -5.06  17.81 -3.21  2.06   ...    ...    ...     2.180  4.45    8.05    0.613   0.386   ...     0.24   ...    ...    0.090 ...    ...    10.76   9.76  12.75 1.77 0.70 0.118   M7V    
M7.5V  2600  3.415 -5.46  18.42 -3.29  2.17   ...    ...    ...     2.160  4.56    8.45    0.650   0.422   ...     0.25   ...    ...    0.089 ...    ...    10.68   9.97  12.97 1.85 0.74 0.112   M7.5V 
M8V    2500  3.398 -5.70  18.84 -3.36  2.20   ...    ...    ...     2.150  4.64    8.73    0.670   0.450   ...     0.26   ...    ...    0.082 ...    ...    11.23  10.11  13.14 1.93 0.77 0.111   M8V   
M8.5V  2440  3.387 -5.80  19.14 -3.44  ...    ...    ...    ...     1.967  4.71    8.92    0.685   0.470   ...     0.265  ...    ...    0.081 ...    ...    11.45  10.22  13.34 1.96 0.80 0.107   M8.5V 
M9V    2400  3.380 -5.90  19.36 -3.57  ...    ...    ...    ...     1.890  4.75    9.00    0.749   0.480   ...     0.27   ...    ...    0.079 ...    ...    11.53  10.30  13.67 1.99 0.82 0.095   M9V     
M9.5V  2320  3.365 -6.13  19.75 -3.55  ...    ...    ...    ...     2.510  4.79    9.30    0.826   0.505   ...     0.27   ...    ...    0.078 ...    ...    11.78  10.45  13.62 2.00 0.84 0.104   M9.5V   
L0V    2250  3.352 ...    20.0  -3.57  ...    ...    ...    ...     ...    4.82    9.45    0.79    0.50    ...     0.27   ...    ...    0.077 ...    ...    11.84  10.55  13.67 2.01 0.86 0.108   L0V     
L1V    2100  3.322 ...    20.5  -3.70  ...    ...    ...    ...     ...    4.91    9.70    0.80    0.54    ...     0.28   ...    ...    0.076 ...    ...    12.14  10.80  13.99 2.02 0.88 0.107   L1V     
L2V    1960  3.292 ...    20.9  -3.84  ...    ...    ...    ...     ...    5.05    10.0    0.87    0.57    ...     0.28   ...    ...    0.075 ...    ...    12.34  10.90  14.34 2.04 0.90 0.104   L2V     
L3V    1830  3.262 ...    21.7  -3.98  ...    ...    ...    ...     ...    5.29    10.4    1.00    0.63    ...     0.29   ...    ...    ...   ...    ...    12.93  11.30  14.96 2.10 0.92 0.102   L3V     
L4V    1700  3.230 ...    22.3  -4.11  ...    ...    ...    ...     ...    5.57    10.9    1.14    0.63    ...     0.30   ...    ...    ...   ...    ...    13.17  11.40  15.02 2.20 0.94 0.102   L4V     
L5V    1590  3.201 ...    23.1  -4.24  ...    ...    ...    ...     ...    6.28    11.4    1.13    0.65    ...     0.32   ...    ...    ...   ...    ...    13.60  11.82  15.34 2.33 0.97 0.100   L5V     
L6V    1490  3.173 ...    ...   -4.36  ...    ...    ...    ...     ...    ...     ...     1.08    0.64    ...     0.36   ...    ...    ...   ...    ...    13.99  12.27  15.64 2.51 1.00 0.099   L6V     
L7V    1410  3.149 ...    ...   -4.46  ...    ...    ...    ...     ...    ...     ...     1.10    0.62    ...     0.41   ...    ...    ...   ...    ...    14.34  12.62  15.89 2.71 1.04 0.099   L7V     
L8V    1350  3.130 ...    ...   -4.55  ...    ...    ...    ...     ...    ...     ...     1.14    0.63    ...     0.48   ...    ...    ...   ...    ...    14.47  12.70  16.12 2.93 1.09 0.097   L8V     
L9V    1300  3.114 ...    ...   -4.61  ...    ...    ...    ...     ...    ...     ...     1.10    0.63    ...     0.57   ...    ...    ...   ...    ...    14.47  12.74  16.27 3.15 1.16 0.098   L9V     
T0V    1260  3.100 ...    ...   -4.66  ...    ...    ...    ...     ...    ...     ...     1.02    0.54    ...     0.68   ...    ...    ...   ...    ...    14.46  12.90  16.39 3.36 1.23 0.098   T0V     
T1V    1230  3.090 ...    ...   -4.69  ...    ...    ...    ...     ...    ...     ...     1.02    0.45    ...     0.82   ...    ...    ...   ...    ...    14.34  12.87  16.47 3.55 1.33 0.100   T1V     
T2V    1200  3.079 ...    ...   -4.73  ...    ...    ...    ...     ...    ...     ...     0.86    0.27    ...     0.99   ...    ...    ...   ...    ...    14.32  13.19  16.57 3.70 1.43 0.100   T2V     
T3V    1160  3.064 ...    ...   -4.77  ...    ...    ...    ...     ...    ...     ...     0.68    0.08    ...     1.19   ...    ...    ...   ...    ...    14.45  13.69  16.67 3.82 1.55 0.102   T3V     
T4V    1120  3.049 ...    ...   -4.84  ...    ...    ...    ...     ...    ...     ...     0.35   -0.19    ...     1.43   ...    ...    ...   ...    ...    14.67  14.51  16.84 3.90 1.68 0.101   T4V     
T4.5V  1090  3.037 ...    ...   -4.90  ...    ...    ...    ...     ...    ...     ...     0.2    -0.06    ...     1.57   ...    ...    ...   ...    ...    14.80  14.66  16.99 3.93 1.75 0.099   T4.5V   
